1,grayscale_avg,0.026109
2,grayscale_lums,0.01234
3,colorMasks,0.017941
4,encodeMessages,0.000015
5,decodeMessages,0.000008
6,std_convolve_clamp_to_0,0.188466
7,std_convolve_clamp_to_border,0.16713
8,flipX,0.007057
9,flipY,0.007892
10,encodeBytes,0.695763
11,grayscale_avg,0.012489
12,grayscale_lums,0.012592
13,colorMasks,0.007063
14,encodeMessages,0.00002
15,decodeMessages,0.000006
16,std_convolve_clamp_to_0,0.178624
17,std_convolve_clamp_to_border,0.18927
18,flipX,0.009011
19,flipY,0.013572
20,encodeBytes,0.849276
21,grayscale_avg,0.028392
22,grayscale_lums,0.020667
23,colorMasks,0.009109
24,encodeMessages,0.00001
25,decodeMessages,0.000005
26,std_convolve_clamp_to_0,0.190109
27,std_convolve_clamp_to_border,0.182281
28,flipX,0.006403
29,flipY,0.005772
30,encodeBytes,0.968121
31,grayscale_avg,0.023187
32,grayscale_lums,0.025285
33,colorMasks,0.006615
34,encodeMessages,0.000007
35,decodeMessages,0.000003
36,std_convolve_clamp_to_0,0.147088
37,std_convolve_clamp_to_border,0.196648
38,flipX,0.006487
39,flipY,0.005938
40,encodeBytes,0.852191
41,grayscale_avg,0.012129
42,grayscale_lums,0.012438
43,colorMasks,0.007677
44,encodeMessages,0.000006
45,decodeMessages,0.000002
46,std_convolve_clamp_to_0,0.15844
47,std_convolve_clamp_to_border,0.171253
48,flipX,0.008242
49,flipY,0.019238
50,encodeBytes,0.903344
51,grayscale_avg,0.02576
52,grayscale_lums,0.028495
53,colorMasks,0.010697
54,encodeMessages,0.000007
55,decodeMessages,0.000004
56,std_convolve_clamp_to_0,0.194631
57,std_convolve_clamp_to_border,0.162042
58,flipX,0.008979
59,flipY,0.02257
60,encodeBytes,0.947131
61,grayscale_avg,0.03028
62,grayscale_lums,0.015379
63,colorMasks,0.009719
64,encodeMessages,0.000013
65,decodeMessages,0.000008
66,std_convolve_clamp_to_0,0.240677
67,std_convolve_clamp_to_border,0.209087
68,flipX,0.010533
69,flipY,0.010487
70,encodeBytes,1.201552
71,grayscale_avg,0.023142
72,grayscale_lums,0.012075
73,colorMasks,0.008679
74,encodeMessages,0.00001
75,decodeMessages,0.000006
76,std_convolve_clamp_to_0,0.149895
77,std_convolve_clamp_to_border,0.181393
78,flipX,0.012171
79,flipY,0.007531
80,encodeBytes,0.859142
81,grayscale_avg,0.017742
82,grayscale_lums,0.013098
83,colorMasks,0.008535
84,encodeMessages,0.000007
85,decodeMessages,0.000003
86,std_convolve_clamp_to_0,0.144881
87,std_convolve_clamp_to_border,0.18865
88,flipX,0.01505
89,flipY,0.010504
90,encodeBytes,1.210883
91,grayscale_avg,0.015709
92,grayscale_lums,0.014356
93,colorMasks,0.008527
94,encodeMessages,0.000008
95,decodeMessages,0.000003
96,std_convolve_clamp_to_0,0.185267
97,std_convolve_clamp_to_border,0.195025
98,flipX,0.007412
99,flipY,0.008661
100,encodeBytes,0.782611
101,grayscale_avg,0.01293
102,grayscale_lums,0.013187
103,colorMasks,0.009751
104,encodeMessages,0.000012
105,decodeMessages,0.000002
106,std_convolve_clamp_to_0,0.156219
107,std_convolve_clamp_to_border,0.199256
108,flipX,0.007724
109,flipY,0.010036
110,encodeBytes,1.208256
111,grayscale_avg,0.013047
112,grayscale_lums,0.012493
113,colorMasks,0.009604
114,encodeMessages,0.000007
115,decodeMessages,0.000004
116,std_convolve_clamp_to_0,0.155768
117,std_convolve_clamp_to_border,0.181688
118,flipX,0.007175
119,flipY,0.00968
120,encodeBytes,0.809643
121,grayscale_avg,0.013533
122,grayscale_lums,0.014393
123,colorMasks,0.007123
124,encodeMessages,0.00002
125,decodeMessages,0.000003
