"166","std_convolve_clamp_to_0","0.011202"
"167","std_convolve_clamp_to_border","0.009590"
"168","flipX","0.017298"
"169","flipY","0.026805"
"170","encodeBytes","0.531595"
"171","grayscale_avg","0.002059"
"172","grayscale_lums","0.001975"
"173","colorMasks","0.011379"
"174","encodeMessages","0.000017"
"175","decodeMessages","0.000008"
"176","std_convolve_clamp_to_0","0.028986"
"177","std_convolve_clamp_to_border","0.023136"
"178","flipX","0.022614"
"179","flipY","0.014558"
"180","encodeBytes","0.528562"
"181","grayscale_avg","0.002453"
"182","grayscale_lums","0.002592"
"183","colorMasks","0.018992"
"184","encodeMessages","0.000015"
"185","decodeMessages","0.000010"
"186","std_convolve_clamp_to_0","0.023563"
"187","std_convolve_clamp_to_border","0.020047"
"188","flipX","0.018819"
"189","flipY","0.026481"
"190","encodeBytes","0.485309"
"191","grayscale_avg","0.002280"
"192","grayscale_lums","0.001982"
"193","colorMasks","0.019162"
"194","encodeMessages","0.000017"
"195","decodeMessages","0.000008"
"196","std_convolve_clamp_to_0","0.015539"
"197","std_convolve_clamp_to_border","0.013136"
"198","flipX","0.010323"
"199","flipY","0.027995"
"200","encodeBytes","0.522691"
"201","grayscale_avg","0.004152"
"202","grayscale_lums","0.006583"
"203","colorMasks","0.027866"
"204","encodeMessages","0.000020"
"205","decodeMessages","0.000006"
"206","std_convolve_clamp_to_0","0.012665"
"207","std_convolve_clamp_to_border","0.028102"
"208","flipX","0.030142"
"209","flipY","0.025928"
"210","encodeBytes","0.446522"
"211","grayscale_avg","0.003487"
"212","grayscale_lums","0.003756"
"213","colorMasks","0.016970"
"214","encodeMessages","0.000008"
"215","decodeMessages","0.000006"
"216","std_convolve_clamp_to_0","0.013108"
"217","std_convolve_clamp_to_border","0.015904"
"218","flipX","0.012091"
"219","flipY","0.023647"
"220","encodeBytes","0.465391"
"221","grayscale_avg","0.002048"
"222","grayscale_lums","0.002113"
"223","colorMasks","0.011624"
"224","encodeMessages","0.000009"
"225","decodeMessages","0.000005"
"226","std_convolve_clamp_to_0","0.009588"
"227","std_convolve_clamp_to_border","0.016317"
"228","flipX","0.012863"
"229","flipY","0.025657"
"230","encodeBytes","0.615983"
"231","grayscale_avg","0.002481"
"232","grayscale_lums","0.002059"
"233","colorMasks","0.014022"
"234","encodeMessages","0.000009"
"235","decodeMessages","0.000009"
"236","std_convolve_clamp_to_0","0.022606"
"237","std_convolve_clamp_to_border","0.021842"
"238","flipX","0.014019"
"239","flipY","0.032445"
"240","encodeBytes","0.492659"
"241","grayscale_avg","0.001945"
"242","grayscale_lums","0.003275"
"243","colorMasks","0.012773"
"244","encodeMessages","0.000037"
"245","decodeMessages","0.000018"
"246","std_convolve_clamp_to_0","0.011840"
"247","std_convolve_clamp_to_border","0.012546"
"248","flipX","0.016046"
"249","flipY","0.029495"
"250","encodeBytes","0.478751"
"251","grayscale_avg","0.005658"
"252","grayscale_lums","0.006255"
"253","colorMasks","0.028130"
"254","encodeMessages","0.000018"
"255","decodeMessages","0.000044"
"256","std_convolve_clamp_to_0","0.018265"
"257","std_convolve_clamp_to_border","0.013431"
"258","flipX","0.015845"
"259","flipY","0.035188"
"260","encodeBytes","0.480606"
"261","grayscale_avg","0.003507"
"262","grayscale_lums","0.003907"
"263","colorMasks","0.019023"
"264","encodeMessages","0.000022"
"265","decodeMessages","0.000012"
"266","std_convolve_clamp_to_0","0.027601"
"267","std_convolve_clamp_to_border","0.018598"
"268","flipX","0.032891"
"269","flipY","0.014295"
"270","encodeBytes","0.446719"
"271","grayscale_avg","0.005778"
"272","grayscale_lums","0.005294"
"273","colorMasks","0.020708"
"274","encodeMessages","0.000029"
"275","decodeMessages","0.000007"
"276","std_convolve_clamp_to_0","0.011903"
"277","std_convolve_clamp_to_border","0.018365"
"278","flipX","0.012019"
"279","flipY","0.028713"
"280","encodeBytes","0.445692"
"281","grayscale_avg","0.002478"
"282","grayscale_lums","0.005973"
"283","colorMasks","0.022096"
"284","encodeMessages","0.000021"
"285","decodeMessages","0.000009"
"286","std_convolve_clamp_to_0","0.015382"
"287","std_convolve_clamp_to_border","0.017898"
